Sn1,Sn2,Sn3,Sn4,Sn5,Sn6,Sn7,Sn8,Sn9,Sn10,Tt,dloc,ED,overload_loc
-0.000137245,6.86e-05,0.000288933,7.900000000000001e-05,-0.000127001,0.000356015,0.000149814,-5.4299999999999985e-05,0.00013947,0.000345531,25.93263357,56,2,0
-0.000109726,5.386700000000001e-05,0.000228576,6.23113e-05,-0.0001024609,0.000282791,0.00011864200000000001,-4.3735e-05,0.0001109918,0.000275813,21.33974596,22,7,0
-6.005000000000008e-06,9.83e-05,5.554099999999999e-05,9.5161e-05,-0.000157524,0.000171979,0.00010161700000000001,-6.600000000000011e-06,0.00018721,0.000439951,32.07911691,61,2,0
4.3432000000000014e-05,0.000301924,-0.001047911,8.4285e-05,-0.000159399,-3.056400000000007e-05,-0.00028958299999999994,0.00028013599999999995,0.000310503,0.000554255,39.51056516,79,4,3
-0.00012487,6.9454e-05,0.000266241,7.8452e-05,-0.00012686299999999998,0.00033545,0.00014330700000000002,-4.972000000000001e-05,0.00014028500000000006,0.00034564839999999997,25.93263357,42,3,0
0.000155761,5.67e-05,-0.000325226,7.101000000000001e-05,-0.000130626,-0.00013278999999999998,-5.270000000000008e-06,4.41e-05,0.000146824,0.00034848500000000005,25.93263357,47,6,2
-0.000135679,6.8142e-05,0.00028423900000000004,7.899020000000001e-05,-0.000127146,0.000353003,0.000148853,-5.368e-05,0.00013942780000000002,0.0003456207,25.93263357,93,6,0
-0.000218443,0.000112854,0.00046758,0.000130491,-0.000202203,0.000575243,0.000243378,-8.499999999999999e-05,0.000207882,0.000558465,39.94521895,69,1,0
-0.00017291099999999998,8.809999999999999e-05,0.000367232,0.000101319,-0.000159856,0.000452183,0.000190788,-6.8e-05,0.000177627,0.000438838,32.07911691,84,7,0
-0.000196634,0.000108741,0.00040049,0.000119379,-0.00018775,0.0005202259999999999,0.00021485099999999998,-7.114e-05,0.000213091,0.0005202963999999999,37.43144825,13,8,0
-0.000116218,5.95e-05,0.000248798,6.68e-05,-0.000109017,0.000302638,0.00012665,-4.73e-05,0.000118585,0.00029445700000000003,22.56855175,20,6,0
-0.000148776,7.49e-05,0.000314312,8.609999999999999e-05,-0.000137712,0.000387123,0.000163081,-5.870000000000001e-05,0.000151875,0.000375761,27.92088309,51,1,0
-0.00010894,8.434e-05,0.000186143,8.251e-05,-0.000135002,0.00031641300000000003,0.000124013,-2.8700000000000013e-05,0.00015857,0.000376114,27.92088309,53,7,0
-0.000136914,6.78e-05,0.000289258,7.890000000000001e-05,-0.000126995,0.000355882,0.00014874200000000002,-5.41e-05,0.000139634,0.000345563,25.93263357,27,5,0
-0.000102099,4.98e-05,0.000208439,6.21e-05,-0.000557866,0.000263857,0.000111768,-3.97e-05,0.000101833,0.000278539,20.05478105,85,8,0
-0.000110621,5.41e-05,0.000230376,6.24e-05,-0.000102464,0.000284169,0.000119205,-4.41e-05,0.000110951,0.000275806,21.33974596,19,2,0
-0.000215319,0.000111764,0.000460699,0.00012803899999999998,-0.00019928,0.00056822,0.000240586,-8.609999999999999e-05,0.000224262,0.000551657,39.51056516,47,7,0
-0.000203176,0.000104333,0.000433284,0.00011993,-0.000187806,0.0005358790000000001,0.000227846,-7.7e-05,0.000212356,0.000520162,37.43144825,43,7,0
-0.000194887,0.000100023,0.000415799,0.000114677,-0.000180449,0.0005116119999999999,0.000216204,-7.609999999999999e-05,0.000201496,0.000496689,35.87785252,50,2,0
4.957099999999999e-05,9.41e-05,-4.428400000000001e-05,8.601999999999999e-05,-0.00014587,6.843499999999999e-05,6.663999999999999e-05,1.28e-05,0.00017676999999999998,0.000408704,30.0,32,5,0
-0.000110238,5.400000000000001e-05,0.000228658,6.36e-05,-9.8e-05,0.00028409,0.000119595,-4.35e-05,0.000110679,0.000279355,21.33974596,86,8,0
-0.000203916,0.000104938,0.000435545,0.000120406,-0.000188486,0.000535919,0.000226545,-7.96e-05,0.000211083,0.000519851,37.43144825,88,3,0
